report_date,category,revenue
31/03/2022,Blouse,280.00
31/03/2022,Set,51532.00
31/03/2022,Top,4511.00
31/03/2022,Western Dress,5479.00
31/03/2022,kurta,33008.00
01/04/2022,Blouse,6225.00
01/04/2022,Bottom,878.00
01/04/2022,Ethnic Dress,11466.00
01/04/2022,Set,475418.00
01/04/2022,Top,64521.00
01/04/2022,Western Dress,74996.00
01/04/2022,kurta,241043.00
02/04/2022,Blouse,9603.00
02/04/2022,Bottom,1693.00
02/04/2022,Ethnic Dress,14537.00
02/04/2022,Saree,648.00
02/04/2022,Set,932536.00
02/04/2022,Top,114489.00
02/04/2022,Western Dress,147554.00
02/04/2022,kurta,464597.00
03/04/2022,Blouse,16359.00
03/04/2022,Bottom,1934.00
03/04/2022,Ethnic Dress,18380.00
03/04/2022,Saree,4964.00
03/04/2022,Set,1416387.00
03/04/2022,Top,178626.00
03/04/2022,Western Dress,209017.00
03/04/2022,kurta,670229.00
04/04/2022,Blouse,14714.00
04/04/2022,Bottom,2034.00
04/04/2022,Ethnic Dress,15111.00
04/04/2022,Saree,4964.00
04/04/2022,Set,1443993.00
04/04/2022,Top,181285.00
04/04/2022,Western Dress,208210.00
04/04/2022,kurta,679157.00
05/04/2022,Blouse,14084.00
05/04/2022,Bottom,3562.00
05/04/2022,Ethnic Dress,17677.00
05/04/2022,Saree,4316.00
05/04/2022,Set,1485886.00
05/04/2022,Top,190504.00
05/04/2022,Western Dress,193319.00
05/04/2022,kurta,708704.00
06/04/2022,Blouse,12041.00
06/04/2022,Bottom,4368.00
06/04/2022,Ethnic Dress,21262.00
06/04/2022,Saree,899.00
06/04/2022,Set,1345328.00
06/04/2022,Top,172053.00
06/04/2022,Western Dress,214035.00
06/04/2022,kurta,738570.00
07/04/2022,Blouse,18340.00
07/04/2022,Bottom,6121.00
07/04/2022,Ethnic Dress,19329.00
07/04/2022,Saree,2901.00
07/04/2022,Set,1342147.00
07/04/2022,Top,153762.00
07/04/2022,Western Dress,224343.00
07/04/2022,kurta,742320.00
08/04/2022,Blouse,21284.00
08/04/2022,Bottom,6522.00
08/04/2022,Ethnic Dress,20444.00
08/04/2022,Saree,5380.00
08/04/2022,Set,1318663.00
08/04/2022,Top,154550.00
08/04/2022,Western Dress,323759.00
08/04/2022,kurta,701581.00
09/04/2022,Blouse,21143.00
09/04/2022,Bottom,7131.00
09/04/2022,Ethnic Dress,23697.00
09/04/2022,Saree,5948.00
09/04/2022,Set,1380741.00
09/04/2022,Top,167292.00
09/04/2022,Western Dress,362483.00
09/04/2022,kurta,641763.00
10/04/2022,Blouse,15549.00
10/04/2022,Bottom,6660.00
10/04/2022,Ethnic Dress,27358.00
10/04/2022,Saree,4736.00
10/04/2022,Set,1481698.00
10/04/2022,Top,178667.00
10/04/2022,Western Dress,394013.00
10/04/2022,kurta,675131.00
11/04/2022,Blouse,16310.00
11/04/2022,Bottom,5264.00
11/04/2022,Ethnic Dress,30944.00
11/04/2022,Saree,2257.00
11/04/2022,Set,1494209.00
11/04/2022,Top,171055.00
